,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
594,507,Victor Wembanyama,C,20,SAS,47,47,28.4,7.4,16.1,0.464,1.6,4.9,0.316,5.9,11.1,0.529,0.512,3.8,4.7,0.811,2.1,7.9,10.0,3.1,1.1,3.0,3.4,2.2,20.3
273,232,Jaime Jaquez Jr.,SF,22,MIA,47,16,29.4,5.0,10.0,0.494,1.0,2.9,0.331,4.0,7.1,0.56,0.541,2.0,2.5,0.819,1.2,2.6,3.8,2.6,1.1,0.2,1.7,2.4,12.9
552,469,Ausar Thompson,SF,21,DET,52,27,23.8,3.5,7.3,0.476,0.2,1.6,0.146,3.3,5.7,0.567,0.492,1.2,1.8,0.638,2.2,4.4,6.6,1.9,1.0,0.9,1.3,2.8,8.3
551,468,Amen Thompson,SF,21,HOU,33,4,18.2,2.8,5.7,0.503,0.2,1.2,0.158,2.7,4.5,0.591,0.519,1.3,2.0,0.667,1.4,3.7,5.1,2.4,1.0,0.4,1.5,2.2,7.2
126,99,Bilal Coulibaly,SF,19,WAS,51,4,26.8,3.0,6.7,0.453,1.0,2.7,0.371,2.0,3.9,0.51,0.529,1.4,2.0,0.706,0.8,3.2,4.1,1.8,0.9,0.8,1.5,2.1,8.5
450,377,Brandin Podziemski,SG,20,GSW,44,13,26.2,3.8,8.3,0.456,1.1,3.2,0.355,2.7,5.1,0.52,0.525,0.8,1.2,0.642,1.5,4.3,5.8,3.7,0.9,0.2,1.2,2.0,9.5
405,344,Kris Murray,SF,23,POR,32,1,13.5,1.4,3.5,0.407,0.6,1.8,0.321,0.9,1.8,0.491,0.487,0.3,0.4,0.667,0.7,1.3,1.9,0.7,0.8,0.2,0.5,0.8,3.7
584,499,Cason Wallace,SG,20,OKC,53,9,20.8,2.6,5.2,0.502,1.2,2.8,0.409,1.5,2.4,0.611,0.613,0.4,0.5,0.846,0.6,1.6,2.2,1.3,0.7,0.4,0.5,1.7,6.8
323,278,Dereck Lively II,C,19,DAL,36,35,26.0,4.2,5.6,0.739,0.0,0.1,0.0,4.2,5.6,0.746,0.739,0.9,1.6,0.544,2.9,5.0,7.9,1.3,0.6,1.4,1.2,3.1,9.2
237,198,Taylor Hendricks,PF,20,UTA,14,0,14.2,1.7,4.5,0.381,0.9,2.6,0.351,0.8,1.9,0.423,0.484,0.4,0.6,0.75,0.9,1.7,2.6,0.5,0.6,0.6,0.8,0.9,4.8
236,197,Scoot Henderson,PG,19,POR,41,15,26.7,4.4,11.8,0.373,1.2,4.0,0.315,3.2,7.9,0.402,0.426,2.7,3.3,0.81,0.9,2.1,3.0,4.6,0.6,0.2,3.0,3.0,12.8
599,512,Cam Whitmore,SF,19,HOU,28,1,17.0,4.4,9.1,0.478,1.7,4.3,0.403,2.6,4.9,0.544,0.573,1.5,2.2,0.677,0.7,3.0,3.6,0.5,0.6,0.2,0.8,1.4,11.9
64,45,Anthony Black,PG,20,ORL,48,29,18.3,1.8,3.7,0.494,0.5,1.3,0.381,1.3,2.4,0.558,0.563,0.8,1.3,0.656,0.5,1.7,2.2,1.6,0.5,0.4,0.9,1.9,5.0
582,497,Jarace Walker,PF,20,IND,17,0,10.2,1.6,3.9,0.424,0.7,1.9,0.375,0.9,2.0,0.471,0.515,0.4,0.4,0.857,0.5,1.2,1.7,1.2,0.5,0.4,0.6,1.0,4.4
504,427,Marcus Sasser,PG,23,DET,47,0,16.2,3.0,6.1,0.484,1.2,2.8,0.431,1.8,3.3,0.529,0.582,0.7,0.8,0.868,0.1,1.4,1.5,2.9,0.5,0.2,0.9,1.4,7.8
538,457,Julian Strawther,SF,21,DEN,34,0,14.1,2.2,5.7,0.383,1.1,3.5,0.317,1.1,2.1,0.493,0.482,0.5,0.7,0.696,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9
147,116,Gradey Dick,SG,20,TOR,32,1,14.9,1.7,4.4,0.38,0.9,2.8,0.337,0.8,1.7,0.453,0.486,0.7,0.8,0.92,0.4,1.3,1.7,1.2,0.5,0.0,0.6,1.4,5.0
516,437,Ben Sheppard,SG,22,IND,31,0,10.7,1.1,3.0,0.366,0.5,2.0,0.274,0.5,1.0,0.548,0.457,0.4,0.5,0.8,0.2,1.0,1.3,0.8,0.5,0.0,0.2,1.3,3.1
192,153,Keyonte George,PG,20,UTA,47,16,24.3,3.6,9.3,0.386,1.7,5.2,0.333,1.9,4.1,0.453,0.479,2.4,3.0,0.821,0.3,2.5,2.8,4.2,0.4,0.1,2.0,1.0,11.3
232,193,Jordan Hawkins,SG,21,NOP,48,10,20.2,3.2,7.9,0.401,2.0,5.1,0.381,1.2,2.8,0.439,0.525,1.3,1.5,0.847,0.5,2.1,2.7,1.3,0.4,0.1,0.8,1.3,9.6
532,451,Nick Smith Jr.,SG,19,CHO,36,0,15.9,2.4,6.0,0.406,1.4,3.1,0.451,1.0,2.9,0.356,0.523,0.3,0.4,0.846,0.4,1.1,1.5,1.3,0.2,0.2,0.9,1.3,6.6
92,69,Kobe Brown,PF,24,LAC,31,0,8.8,0.7,2.0,0.377,0.4,1.3,0.308,0.4,0.7,0.5,0.475,0.0,0.1,0.5,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.3,1.9
250,209,Jalen Hood-Schifino,SG,20,LAL,16,0,5.9,0.5,2.3,0.222,0.1,0.7,0.091,0.4,1.6,0.28,0.236,0.6,1.0,0.625,0.1,0.6,0.7,0.5,0.2,0.1,0.5,0.7,1.7
467,394,Olivier-Maxence Prosper,PF,21,DAL,28,0,8.9,0.9,2.5,0.348,0.3,1.2,0.242,0.6,1.3,0.444,0.406,0.8,1.2,0.676,0.6,1.5,2.1,0.7,0.1,0.1,0.1,0.6,2.8
381,322,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,0.2,0.0,1.5,0.0,0.5,1.0,0.5,0.2,0.5,1.0,0.5,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5
120,93,Noah Clowney,PF,19,BRK,6,0,10.2,1.8,3.0,0.611,0.2,0.7,0.25,1.7,2.3,0.714,0.639,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.0,0.2,0.5,0.8,4.8
255,214,Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,0.368,0.4,1.3,0.286,0.3,0.5,0.6,0.474,0.2,0.4,0.5,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.1,1.8
99,74,Kobe Bufkin,SG,20,ATL,4,0,5.5,0.5,2.0,0.25,0.5,1.5,0.333,0.0,0.5,0.0,0.375,0.3,0.5,0.5,0.5,1.0,1.5,0.3,0.0,0.0,0.0,0.3,1.8
511,432,Brice Sensabaugh,SF,20,UTA,4,0,3.0,0.5,1.5,0.333,0.3,0.5,0.5,0.3,1.0,0.25,0.417,0.0,0.0,0.0,0.3,0.5,0.8,0.5,0.0,0.0,0.0,0.3,1.3
